sporulation;oiv;densite_sporulation;experiment;ligne;image_name;surface_necrosee;colonne;sheet;necrose;taille_necrose
1.0;5.0;5.0;Exp18DM05_saisie;c;Exp18DM05_inoc1_T4_P27;5.0;1.0;4dpi;1.0;3.0
1.0;3.0;1.0;Exp18DM05_saisie;a;Exp18DM05_inoc1_T4_P27;;2.0;4dpi;0.0;
1.0;5.0;5.0;Exp18DM05_saisie;b;Exp18DM05_inoc1_T4_P27;3.0;2.0;4dpi;1.0;3.0
1.0;5.0;5.0;Exp18DM05_saisie;c;Exp18DM05_inoc1_T4_P27;;2.0;4dpi;0.0;
1.0;5.0;5.0;Exp18DM05_saisie;a;Exp18DM05_inoc1_T4_P27;;3.0;4dpi;0.0;
1.0;7.0;9.0;Exp18DM05_saisie;b;Exp18DM05_inoc1_T4_P27;9.0;3.0;4dpi;1.0;9.0
1.0;5.0;5.0;Exp18DM05_saisie;c;Exp18DM05_inoc1_T4_P27;;3.0;4dpi;0.0;
1.0;3.0;3.0;Exp18DM05_saisie;a;Exp18DM05_inoc1_T4_P27;;4.0;4dpi;0.0;
1.0;3.0;5.0;Exp18DM05_saisie;b;Exp18DM05_inoc1_T4_P27;;4.0;4dpi;0.0;
1.0;7.0;9.0;Exp18DM05_saisie;c;Exp18DM05_inoc1_T4_P27;;4.0;4dpi;0.0;
1.0;3.0;5.0;Exp18DM05_saisie;a;Exp18DM05_inoc1_T4_P28;5.0;1.0;4dpi;1.0;1.0
1.0;7.0;7.0;Exp18DM05_saisie;b;Exp18DM05_inoc1_T4_P28;;1.0;4dpi;0.0;
1.0;3.0;5.0;Exp18DM05_saisie;c;Exp18DM05_inoc1_T4_P28;;1.0;4dpi;0.0;
1.0;5.0;5.0;Exp18DM05_saisie;a;Exp18DM05_inoc1_T4_P28;;2.0;4dpi;0.0;
1.0;3.0;3.0;Exp18DM05_saisie;b;Exp18DM05_inoc1_T4_P28;;2.0;4dpi;0.0;
1.0;7.0;9.0;Exp18DM05_saisie;c;Exp18DM05_inoc1_T4_P28;5.0;2.0;4dpi;1.0;5.0
1.0;3.0;5.0;Exp18DM05_saisie;a;Exp18DM05_inoc1_T4_P28;3.0;3.0;4dpi;1.0;1.0
1.0;7.0;9.0;Exp18DM05_saisie;b;Exp18DM05_inoc1_T4_P28;7.0;3.0;4dpi;1.0;7.0
1.0;3.0;3.0;Exp18DM05_saisie;c;Exp18DM05_inoc1_T4_P28;;3.0;4dpi;0.0;
1.0;3.0;1.0;Exp18DM05_saisie;a;Exp18DM05_inoc1_T4_P28;;4.0;4dpi;0.0;
1.0;3.0;3.0;Exp18DM05_saisie;b;Exp18DM05_inoc1_T4_P28;;4.0;4dpi;0.0;
1.0;7.0;9.0;Exp18DM05_saisie;c;Exp18DM05_inoc1_T4_P28;9.0;4.0;4dpi;1.0;9.0
1.0;3.0;5.0;Exp18DM05_saisie;a;Exp18DM05_inoc1_T4_P29;;1.0;4dpi;0.0;
0.0;9.0;;Exp18DM05_saisie;b;Exp18DM05_inoc1_T4_P29;5.0;1.0;4dpi;1.0;5.0
1.0;7.0;9.0;Exp18DM05_saisie;c;Exp18DM05_inoc1_T4_P29;;1.0;4dpi;0.0;
1.0;7.0;9.0;Exp18DM05_saisie;a;Exp18DM05_inoc1_T4_P29;7.0;2.0;4dpi;1.0;7.0
1.0;3.0;5.0;Exp18DM05_saisie;b;Exp18DM05_inoc1_T4_P29;7.0;2.0;4dpi;1.0;5.0
